id,name
2.0,Boerum Place
6.0,West 106th Street
7.0,West 80th Street
9.0,West 84th Street
10.0,Szold Place
11.0,La Salle Street
12.0,West 9th Street
13.0,Patchin Place
14.0,Jones Alley
15.0,Old Slip
16.0,West 61st Street
17.0,West 61st Street
18.0,West 89th Street
19.0,Liberty Street
29.0,Robert F. Kennedy Bridge
31.0,FDR Drive
37.0,FDR Drive
39.0,Galvin Avenue
40.0,PABT Ramp
41.0,FDR Drive
43.0,West 77th Street
45.0,Holland Tunnel exit
47.0,97th Street Transverse
48.0,Central Park West 110th Approach
57.0,Harlem River Drive
58.0,Harlem River Drive
59.0,Madison Avenue Bridge
61.0,Harlem River Drive
64.0,Third Avenue Bridge
67.0,Malcolm X Boulevard
68.0,West 85th Street
71.0,East 71st Street Pedestrian Bridge
74.0,Lincoln Tunnel
85.0,FDR Drive
88.0,Spruce Street
91.0,Fletcher Street
94.0,West 220th Street
97.0,Jackson Street
98.0,West 192nd Street
99.0,Brooklyn Bridge
100.0,Sherman Avenue
101.0,Saint Nicholas Place
103.0,West 58th Street
104.0,West 225th Street
106.0,West 78th Street
107.0,West 180th Street
108.0,Cabrini Boulevard
109.0,Broadway
110.0,Broadway
111.0,Broadway
112.0,East 86th Street
113.0,Platt Street
114.0,West 13th Street
115.0,West 13th Street
116.0,West 173rd Street
117.0,Hanover Street
118.0,West 132nd Street
119.0,West 120th Street
120.0,Steve Flanders Square
121.0,Murray Street
122.0,West 18th Street
124.0,East 70th Street
125.0,Cornelia Street
126.0,West 218th Street
127.0,West 120th Street
128.0,Delancey Street
129.0,Delancey Street
130.0,West 125th Street
131.0,West 192nd Street
132.0,Thomas Street
133.0,Pine Street
134.0,Sylvan Court
135.0,East 26th Street
136.0,West 214th Street
137.0,East 63rd Street
138.0,West 20th Street
139.0,Park Place
140.0,South Pinehurst Avenue
141.0,Kenmare Street
142.0,East 75th Street
145.0,6th Avenue
146.0,Congress Street
147.0,East 102nd Street
148.0,Duane Street
149.0,11th Avenue
150.0,7th Avenue South
151.0,East 10th Street
152.0,Colonel Robert Magaw Place
153.0,Cherokee Place
154.0,West End Avenue
155.0,West 225th Street
156.0,Little West 12th Street
157.0,Great Jones Street
158.0,West 113th Street
159.0,West 207th Street
160.0,East 128th Street
161.0,Commerce Street
162.0,East 15th Street
163.0,West 90th Street
164.0,East 15th Street
165.0,East 15th Street
166.0,East 64th Street
167.0,Staff Street
168.0,East 68th Street
170.0,Freeman Alley
171.0,Terrace View Avenue
172.0,Bleecker Street
173.0,Broad Street
174.0,Oliver Street
175.0,Gouverneur Street
176.0,Stanton Street
177.0,Stanton Street
178.0,Broome Street
179.0,79th Street Transverse Road
180.0,Broome Street
181.0,Broome Street
182.0,West 29th Street
183.0,West 167th Street
184.0,Duane Street
186.0,Frawley Circle
187.0,East 41st Street
188.0,Marketfield Street
189.0,Cortlandt Alley
190.0,East 102nd Street
191.0,Horatio Street
192.0,Esplanade Gardens Plaza
193.0,West 45th Street
194.0,West 201st Street
195.0,West 107th Street
196.0,East 57th Street
197.0,West 67th Street
198.0,Indian Road
199.0,Saint Nicholas Avenue
200.0,Saint Nicholas Avenue
201.0,Pitt Street
202.0,Greenwich Avenue
203.0,Peck Slip
204.0,Arden Street
205.0,Waverly Place
206.0,State Street Plaza
207.0,West 156th Street
208.0,Saint Nicholas Terrace
209.0,West 193rd Street
210.0,Peck Slip
211.0,West 193rd Street
212.0,Washington Mews
213.0,West 98th Street
214.0,Waverly Place
215.0,East Broadway
216.0,West 82nd Street
217.0,Wooster Street
218.0,West 140th Street
219.0,West 140th Street
221.0,Sheridan Square
222.0,New York Plaza
223.0,Exchange Place
224.0,East 46th Street
225.0,West 133rd Street
226.0,East 126th Street
227.0,Saint Mark's Place
228.0,West 87th Street
229.0,Mott Street
230.0,East 95th Street
231.0,2nd Place
232.0,East 7th Street
233.0,West 145th Street
234.0,West 22nd Street
235.0,FDR Drive
236.0,West 149th Street
237.0,East Broadway
238.0,East 110th Street
239.0,Cedar Street
240.0,Cedar Street
241.0,Dyckman Street
242.0,West 27th Street
243.0,Dyer Avenue
244.0,Gouverneur Slip East
245.0,West 27th Drive
246.0,East 103rd Street
247.0,West 49th Street
248.0,Extra Place
249.0,Main Street
250.0,West 171st Street
251.0,Edgecombe Avenue
252.0,East 119th Street
253.0,Waverly Place
254.0,East 115th Street
255.0,Central Park South
256.0,West 149th Street
257.0,East 84th Street
258.0,West 73rd Street
259.0,FDR Drive
260.0,Henry Street
261.0,West 134th Street
262.0,West 134th Street
263.0,West 38th Street
264.0,PABT Ramp
265.0,Desbrosses Street
266.0,East 35th Street
268.0,South Craig Road
269.0,Hubert Street
270.0,Hudson Street
271.0,Irving Place
272.0,Mulberry Street
273.0,Central Park West
274.0,Dominick Street
275.0,East 104th Street
276.0,East 108th Street
277.0,East 108th Street
278.0,York Avenue
280.0,Thompson Street
281.0,Thompson Street
282.0,West 176th Street
283.0,East 103rd Street
284.0,Minetta Street
285.0,East 78th Street
286.0,East 13th Street
287.0,East 13th Street
288.0,Greenwich Street
289.0,East 103rd Street
290.0,Gouverneur Slip West
291.0,East Drive
292.0,Union Square East
293.0,East 61st Street
294.0,Willis Avenue Bridge
295.0,Rivington Street
296.0,West 116th Street
297.0,West 116th Street
298.0,Catherine Street
299.0,West 112th Street
300.0,West 134th Street
301.0,West 138th Street
302.0,Cliff Street
303.0,West 165th Street
304.0,East 3rd Street
305.0,West 71st Street
306.0,West 112th Street
307.0,West 133rd Street
308.0,Staple Street
309.0,East 67th Street
310.0,Cherry Street
311.0,East 18th Street
312.0,Hudson Street
313.0,East 29th Street
314.0,West 83rd Street
315.0,Bowery
316.0,West 34th Street
317.0,W 30 St
318.0,West 138th Street
319.0,West 165th Street
320.0,West 68th Street
321.0,Fort Charles Place
322.0,Downing Street
323.0,Gramercy Park East
324.0,Samuel Dickstein Plaza
325.0,Cherry Street
326.0,Benson Street
327.0,West 191st Street
